Index,TX_Bit,TX_Sample,RX_Bit,Error
0,0,-127,0,0
1,1,127,1,0
2,1,127,1,0
3,0,-127,0,0
4,1,127,1,0
5,0,-127,0,0
6,0,-127,0,0
7,0,-127,0,0
8,0,-127,0,0
9,0,-127,0,0
10,0,-127,0,0
11,0,-127,0,0
12,1,127,1,0
13,1,127,1,0
14,0,-127,0,0
15,1,127,1,0
16,1,127,1,0
17,1,127,1,0
18,1,127,1,0
19,1,127,1,0
20,0,-127,0,0
21,1,127,1,0
22,1,127,1,0
23,1,127,1,0
24,0,-127,0,0
25,1,127,1,0
26,0,-127,0,0
27,1,127,1,0
28,1,127,1,0
29,0,-127,0,0
30,1,127,1,0
31,0,-127,0,0
32,0,-127,0,0
33,1,127,1,0
34,0,-127,0,0
35,1,127,1,0
36,1,127,1,0
37,0,-127,0,0
38,0,-127,0,0
39,1,127,1,0
40,0,-127,0,0
41,0,-127,0,0
42,0,-127,0,0
43,1,127,1,0
44,1,127,1,0
45,1,127,1,0
46,0,-127,0,0
47,0,-127,0,0
48,0,-127,0,0
49,0,-127,0,0
50,1,127,1,0
51,0,-127,0,0
52,0,-127,0,0
53,0,-127,0,0
54,1,127,1,0
55,0,-127,0,0
56,0,-127,0,0
57,0,-127,0,0
58,0,-127,0,0
59,0,-127,0,0
60,1,127,1,0
61,0,-127,0,0
62,1,127,1,0
63,1,127,1,0
64,0,-127,0,0
65,1,127,1,0
66,0,-127,0,0
67,0,-127,0,0
68,0,-127,0,0
69,0,-127,0,0
70,0,-127,0,0
71,1,127,1,0
72,0,-127,0,0
73,1,127,1,0
74,1,127,1,0
75,1,127,1,0
76,1,127,1,0
77,1,127,1,0
78,0,-127,0,0
79,0,-127,0,0
80,1,127,1,0
81,0,-127,0,0
82,1,127,1,0
83,1,127,1,0
84,1,127,1,0
85,0,-127,0,0
86,1,127,1,0
87,1,127,1,0
88,0,-127,0,0
89,0,-127,0,0
90,0,-127,0,0
91,1,127,1,0
92,0,-127,0,0
93,1,127,1,0
94,1,127,1,0
95,0,-127,0,0
96,1,127,1,0
97,1,127,1,0
98,1,127,1,0
99,1,127,1,0
100,1,127,1,0
101,1,127,1,0
102,1,127,1,0
103,1,127,1,0
104,0,-127,0,0
105,1,127,1,0
106,0,-127,0,0
107,1,127,1,0
108,0,-127,0,0
109,1,127,1,0
110,0,-127,0,0
111,1,127,1,0
112,1,127,1,0
113,1,127,1,0
114,0,-127,0,0
115,1,127,1,0
116,0,-127,0,0
117,0,-127,0,0
118,0,-127,0,0
119,1,127,1,0
120,0,-127,0,0
121,1,127,1,0
122,1,127,1,0
123,0,-127,0,0
124,0,-127,0,0
125,0,-127,0,0
126,0,-127,0,0
127,0,-127,0,0
128,1,127,1,0
129,0,-127,0,0
130,0,-127,0,0
131,1,127,1,0
132,1,127,1,0
133,0,-127,0,0
134,0,-127,0,0
135,1,127,1,0
136,0,-127,0,0
137,1,127,1,0
138,0,-127,0,0
139,0,-127,0,0
140,1,127,1,0
141,1,127,1,0
142,1,127,1,0
143,1,127,1,0
144,0,-127,0,0
145,0,-127,0,0
